clones,Anthractnose,ManchaBranca,ManchaParda,QueimaFolhas
BGM-0561,-0.324846540041106,-0.555554914717979,-0.633286402746447,-0.658583362416508
BGM-0563,-0.324846540041126,0.61986774084024,0.206345282930788,0.0130666021716536
BGM-0564,-0.828235069194129,-0.891389959163221,-0.29743372847556,-0.490670871269456
BGM-0570,0.17854198911199,0.619867740840172,0.0384189457954457,0.0130666021715838
BGM-0573,0.178541989111991,0.116115174172426,0.37427162006618,0.180979093318597
BGM-0574,-0.157050363656783,-0.0518023480501451,0.374271620066224,0.0130666021716131
BGM-0576,-0.157050363656784,-0.387637392495321,-0.29743372847557,-0.490670871269483
BGM-0579,-2.00511420079138,-1.29394631972604,-1.92757749423799,-2.04473673606673
BGM-0583,0.178541989112004,0.284032696395037,0.710124294337123,0.852629057906823
BGM-0587,-1.16382742196279,-0.55555491471793,-0.129507391340118,-0.658583362416502
BGM-0590,-0.49264271642542,-0.555554914717983,0.0384189457953472,0.0130666021716572
BGM-0591,0.681930518264873,0.722642405383069,-0.583117937967289,-0.364292875143729
BGM-0592,1.18531904741794,0.787785263062904,0.206345282930788,0.516804075612743
BGM-0593,0.010745812727561,-0.219719870272768,0.542197957201678,0.684716566759769
BGM-0598,-0.660438892809762,-0.555554914717947,-0.633286402746439,-0.994408344710575
BGM-0600,0.0107458127275598,-0.0518023480501411,0.0384189457953485,0.348891584465703
BGM-0601,0.178541989111987,-0.387637392495347,1.045976968608,1.35636653134789
BGM-0603,-0.828235069194082,-0.555554914717949,-0.129507391340106,-0.322758380122433
BGM-0606,-0.996031245578481,-0.891389959163217,-0.63328640274645,-0.322758380122464
BGM-0607,-1.33162359834712,-0.555554914717984,-0.801212739881919,-0.82649585356351
BGM-0614,-0.492642716425435,-0.387637392495345,0.0384189457953551,-0.32275838012247
BGM-0615,-0.660438892809786,-0.555554914718017,0.20634528293081,0.0130666021715868
BGM-0618,-0.157050363656839,0.78778526306285,0.20634528293086,0.180979093318591
BGM-0620,0.346338165496316,-0.0518023480501194,-0.129507391340137,-0.154845888975424
BGM-0623,1.20871861674938,0.933506771199522,1.15494168963475,1.14069577507441
BGM-0624,1.04114849308399,1.10119583971604,1.32264284915864,1.30838229457724
BGM-0625,1.04114849308398,0.598128634166537,0.65183821106301,0.469949697063058
BGM-0626,-0.948097484932363,-0.664218032895627,0.310592512871272,-0.457208476671873
BGM-0630,0.370867998422451,-0.575694845449043,0.316435892015202,0.469949697063096
BGM-0631,0.801981404147229,0.0251782726259946,0.741725961488268,0.889402119713099
BGM-0635,0.80198140414722,0.529289478054122,0.573679506781605,0.721371298250969
BGM-0638,-0.373247614719472,0.529289478054121,0.069540142661637,0.217278833864591
BGM-0642,-0.876917194233785,0.0251782726260272,-0.602645676165001,-0.790906094908093
BGM-0646,0.634091544309109,0.193215341102065,0.741725961488258,0.72137129825098
BGM-0648,0.298311824632886,1.2014377519583,0.741725961488261,1.0574329411752
BGM-0650,0.298311824632889,1.36947482043438,0.405633052074954,0.553340476788841
BGM-0651,-0.205357754881406,0.865363615006225,0.909772416194909,0.0492480124024704
